bag_t,ros_t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,raw
1761939168.7878,1761939168.7875388,-7.347836150896127e-06,-6.637487145334435e-05,-1.0070549784007283e-05,-0.026,-0.25,9.829,2.4690000000000002e-05,4.8200000000000004e-06,3.346e-05,"$VNYMR,-077.702,-001.303,+000.152,+00.0482,+00.2469,-00.3346,-00.250,-00.026,-09.829,-00.003803,-00.000421,+00.000577*6A"
1761939168.813608,1761939168.8128083,-1.8867009214058702e-05,8.681267699419796e-05,1.0698868314725242e-05,-0.033,-0.255,9.932,2.5169999999999998e-05,4.7300000000000005e-06,3.336e-05,"$VNYMR,-077.700,-001.304,+000.151,+00.0473,+00.2517,-00.3336,-00.255,-00.033,-09.932,+00.004974,-00.001081,-00.000613*6F"
1761939168.8369465,1761939168.8366184,-9.424777960769379e-07,-0.00010889109203192621,-7.033676885537148e-06,-0.029,-0.224,9.831,2.498e-05,4.6300000000000006e-06,3.325e-05,"$VNYMR,-077.700,-001.305,+000.151,+00.0463,+00.2498,-00.3325,-00.224,-00.029,-09.831,-00.006239,-00.000054,+00.000403*6E"
1761939168.8628151,1761939168.8625941,2.4155356847601522e-05,8.81216739331937e-05,1.3334315485236678e-05,-0.028,-0.218,9.931,2.449e-05,4.52e-06,3.325e-05,"$VNYMR,-077.702,-001.304,+000.152,+00.0452,+00.2449,-00.3325,-00.218,-00.028,-09.931,+00.005049,+00.001384,-00.000764*62"
1761939168.8926334,1761939168.8919952,2.3876104167282428e-05,-7.073819458333017e-05,-2.4783675378319483e-06,-0.005,-0.201,9.881,2.478e-05,4.8200000000000004e-06,3.346e-05,"$VNYMR,-077.702,-001.303,+000.150,+00.0482,+00.2478,-00.3346,-00.201,-00.005,-09.881,-00.004053,+00.001368,+00.000142*6A"
1761939168.9127324,1761939168.912498,-3.808308427851627e-05,6.841690667817772e-05,1.5236724369910496e-05,-0.045,-0.215,9.959,2.41e-05,4.710000000000001e-06,3.313e-05,"$VNYMR,-077.703,-001.304,+000.153,+00.0471,+00.2410,-00.3313,-00.215,-00.045,-09.959,+00.003920,-00.002182,-00.000873*6A"
1761939168.9376383,1761939168.9374406,-8.133234314293576e-06,-3.59188760060433e-05,-1.6336281798666925e-05,-0.013,-0.225,9.853,2.449e-05,4.420000000000001e-06,3.392e-05,"$VNYMR,-077.701,-001.304,+000.150,+00.0442,+00.2449,-00.3392,-00.225,-00.013,-09.853,-00.002058,-00.000466,+00.000936*6F"
1761939168.9626195,1761939168.9624786,7.906341511534313e-06,2.04378055408536e-05,-1.1798425743481667e-05,-0.014,-0.262,9.922,2.449e-05,4.52e-06,3.325e-05,"$VNYMR,-077.700,-001.304,+000.152,+00.0452,+00.2449,-00.3325,-00.262,-00.014,-09.922,+00.001171,+00.000453,+00.000676*66"
1761939168.9867187,1761939168.9865665,-3.6599554414321086e-05,8.133234314293576e-06,5.5676003138619115e-06,-0.02,-0.244,9.892,2.478e-05,4.62e-06,3.38e-05,"$VNYMR,-077.700,-001.305,+000.150,+00.0462,+00.2478,-00.3380,-00.244,-00.020,-09.892,+00.000466,-00.002097,-00.000319*62"
1761939169.0127213,1761939169.012541,1.975712713257581e-05,-1.855284994869972e-05,9.250245035569947e-07,-0.035,-0.24,9.851,2.43e-05,4.8200000000000004e-06,3.224e-05,"$VNYMR,-077.699,-001.306,+000.152,+00.0482,+00.2430,-00.3224,-00.240,-00.035,-09.851,-00.001063,+00.001132,-00.000053*60"
